t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
82	505	505	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	54	54	59	59	41	41	55	55	61	61	53	53	44	44	40	40	46	46	
83	448	448	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	35	35	48	48	50	50	48	48	54	54	66	66	54	54	7	7	27	27	
84	453	453	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	40	40	54	54	38	38	50	50	40	40	44	44	55	55	27	27	44	44	
85	507	507	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	79	79	46	46	55	55	59	59	59	59	45	45	71	71	43	43	29	29	21	21	
86	503	503	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	51	51	60	60	54	54	61	61	43	43	57	57	38	38	31	31	54	54	
87	501	501	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	52	52	46	46	59	59	57	57	44	44	67	67	41	41	19	19	57	57	
88	460	460	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	35	35	50	50	37	37	62	62	45	45	47	47	42	42	31	31	48	48	
89	440	440	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	46	46	47	47	32	32	48	48	36	36	50	50	46	46	32	32	51	51	
90	468	468	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	33	33	44	44	46	46	48	48	45	45	67	67	40	40	31	31	59	59	
91	518	518	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	48	48	52	52	53	53	60	60	57	57	42	42	46	46	49	49	54	54	
92	481	481	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	45	45	66	66	24	24	48	48	50	50	46	46	50	50	36	36	53	53	
93	451	451	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	70	70	46	46	38	38	49	49	46	46	42	42	50	50	41	41	23	23	46	46	
94	502	502	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	40	40	49	49	61	61	57	57	47	47	35	35	56	56	31	31	59	59	
95	503	503	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	69	69	41	41	46	46	54	54	51	51	52	52	58	58	43	43	41	41	48	48	
96	473	473	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	43	43	44	44	32	32	72	72	47	47	56	56	44	44	46	46	35	35	
97	494	494	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	41	41	42	42	46	46	86	86	38	38	55	55	49	49	35	35	51	51	
98	483	483	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	39	39	53	53	26	26	58	58	50	50	46	46	49	49	32	32	59	59	
