t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
699	758	603	 600	6	0.79	0.03	0.81	0.81	0.77	0.82	0.80	0.82	0.78	0.74	0.79	0.81	74	60	64	52	75	58	78	64	83	66	89	73	76	59	72	53	67	53	80	65	
700	392	328	 600	5	0.84	0.05	0.84	0.93	0.82	0.86	0.88	0.85	0.81	0.76	0.83	0.78	32	27	30	28	39	32	50	43	33	29	59	50	54	44	29	22	30	25	36	28	
701	388	380	 600	3	0.98	0.03	1.00	1.00	1.00	1.00	1.00	0.98	0.98	0.90	0.98	1.00	29	29	39	39	24	24	30	30	48	48	43	42	42	41	49	44	41	40	43	43	
702	381	381	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	21	21	41	41	33	33	45	45	39	39	37	37	58	58	38	38	39	39	
703	376	376	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	31	31	36	36	35	35	32	32	44	44	49	49	51	51	27	27	45	45	
704	410	410	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	23	23	41	41	48	48	34	34	42	42	35	35	43	43	62	62	37	37	45	45	
705	391	391	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	29	29	24	24	41	41	24	24	39	39	47	47	50	50	39	39	40	40	58	58	
706	443	443	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	41	41	35	35	57	57	48	48	51	51	30	30	55	55	42	42	34	34	
707	397	397	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	26	26	42	42	35	35	48	48	48	48	60	60	37	37	19	19	52	52	
708	393	393	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	24	24	43	43	32	32	46	46	25	25	30	30	53	53	56	56	46	46	38	38	
709	406	406	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	34	34	38	38	39	39	41	41	45	45	54	54	42	42	35	35	44	44	
710	346	346	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	24	24	39	39	33	33	38	38	36	36	30	30	61	61	31	31	28	28	
711	415	415	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	25	25	36	36	35	35	42	42	45	45	44	44	56	56	35	35	56	56	
712	372	372	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	39	39	27	27	46	46	48	48	40	40	21	21	39	39	28	28	39	39	
713	419	419	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	48	48	42	42	40	40	45	45	27	27	47	47	34	34	50	50	43	43	
714	390	390	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	39	39	37	37	32	32	30	30	37	37	47	47	35	35	48	48	48	48	
715	395	395	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	16	16	38	38	38	38	43	43	43	43	48	48	43	43	48	48	45	45	
716	350	350	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	29	29	21	21	32	32	42	42	33	33	51	51	35	35	48	48	34	34	25	25	
717	388	388	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	25	25	41	41	47	47	38	38	43	43	59	59	42	42	24	24	43	43	
718	438	438	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	26	26	49	49	45	45	38	38	46	46	50	50	59	59	36	36	52	52	
719	395	395	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	37	37	29	29	38	38	51	51	35	35	42	42	35	35	46	46	40	40	
720	364	364	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	39	39	37	37	38	38	41	41	31	31	34	34	35	35	23	23	59	59	
721	381	381	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	27	27	35	35	25	25	29	29	48	48	52	52	40	40	33	33	39	39	
722	392	392	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	33	33	29	29	34	34	30	30	39	39	39	39	55	55	30	30	44	44	
723	358	358	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	24	24	25	25	34	34	37	37	40	40	49	49	48	48	32	32	29	29	40	40	
724	351	351	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	18	18	33	33	27	27	39	39	30	30	29	29	50	50	48	48	26	26	51	51	
725	374	374	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	25	25	30	30	37	37	39	39	45	45	39	39	34	34	49	49	34	34	42	42	
726	430	430	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	26	26	39	39	41	41	45	45	43	43	48	48	53	53	36	36	54	54	
727	415	415	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	23	23	37	37	35	35	56	56	42	42	43	43	51	51	47	47	40	40	
728	361	361	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	40	40	30	30	29	29	33	33	39	39	44	44	44	44	27	27	45	45	
729	352	352	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	21	21	40	40	16	16	40	40	43	43	43	43	41	41	39	39	34	34	
730	401	401	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	43	43	36	36	48	48	48	48	44	44	53	53	37	37	25	25	34	34	
731	442	442	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	23	23	45	45	45	45	35	35	45	45	46	46	56	56	51	51	49	49	
732	402	402	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26	26	42	42	20	20	38	38	30	30	41	41	40	40	75	75	40	40	50	50	
733	402	402	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	22	22	33	33	45	45	50	50	38	38	48	48	44	44	40	40	37	37	45	45	
734	405	405	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	22	22	35	35	32	32	43	43	51	51	49	49	38	38	36	36	54	54	
735	423	423	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	23	23	37	37	33	33	42	42	41	41	36	36	56	56	52	52	47	47	56	56	
736	402	402	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	26	26	48	48	40	40	33	33	54	54	54	54	37	37	30	30	49	49	
737	383	383	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	37	37	33	33	26	26	39	39	42	42	39	39	41	41	44	44	46	46	
738	387	387	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	27	27	43	43	32	32	36	36	43	43	51	51	45	45	30	30	35	35	
739	363	363	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	24	24	34	34	54	54	25	25	46	46	42	42	43	43	21	21	34	34	
740	346	346	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	24	24	31	31	41	41	35	35	37	37	32	32	49	49	26	26	32	32	39	39	
741	393	393	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	38	38	38	38	27	27	33	33	39	39	54	54	56	56	47	47	23	23	
742	390	390	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	26	26	37	37	47	47	34	34	42	42	52	52	51	51	23	23	38	38	
743	372	372	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	21	21	40	40	29	29	21	21	40	40	63	63	30	30	34	34	58	58	
744	366	366	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	41	41	37	37	33	33	26	26	30	30	59	59	34	34	34	34	36	36	
745	405	405	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	24	24	34	34	31	31	39	39	48	48	53	53	49	49	48	48	40	40	
746	413	413	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	34	34	35	35	37	37	39	39	37	37	53	53	46	46	40	40	47	47	
747	380	380	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	19	19	41	41	37	37	40	40	38	38	40	40	40	40	58	58	25	25	42	42	
748	368	368	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	24	24	35	35	30	30	38	38	32	32	45	45	38	38	37	37	49	49	
749	400	400	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	23	23	38	38	27	27	35	35	46	46	46	46	66	66	53	53	30	30	36	36	
750	429	429	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	35	35	33	33	37	37	51	51	49	49	39	39	52	52	43	43	58	58	
751	381	381	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	32	32	34	34	38	38	52	52	36	36	42	42	43	43	30	30	40	40	
752	382	382	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	32	32	36	36	38	38	40	40	46	46	41	41	37	37	33	33	41	41	
753	399	399	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	26	26	32	32	43	43	32	32	49	49	47	47	54	54	37	37	42	42	
754	430	430	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	34	34	31	31	59	59	56	56	51	51	53	53	47	47	27	27	36	36	
755	410	410	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48	48	27	27	34	34	53	53	46	46	46	46	45	45	44	44	32	32	35	35	
756	417	417	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	21	21	53	53	44	44	44	44	41	41	31	31	58	58	47	47	25	25	53	53	
757	350	350	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	24	24	36	36	43	43	33	33	36	36	28	28	42	42	36	36	29	29	43	43	
758	387	387	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	22	22	29	29	28	28	25	25	43	43	60	60	48	48	37	37	46	46	
759	383	383	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	29	29	28	28	21	21	45	45	39	39	59	59	43	43	42	42	44	44	
