t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
105	430	430	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	42	42	44	44	44	44	51	51	23	23	43	43	58	58	58	58	36	36	
106	396	396	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	46	46	46	46	36	36	25	25	16	16	29	29	52	52	71	71	41	41	
107	461	461	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	38	38	56	56	47	47	43	43	29	29	50	50	59	59	56	56	42	42	
108	429	429	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	38	38	36	36	43	43	59	59	28	28	33	33	43	43	65	65	39	39	
109	417	417	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	35	35	31	31	23	23	58	58	46	46	49	49	62	62	47	47	39	39	
110	390	390	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	35	35	45	45	32	32	41	41	42	42	31	31	39	39	58	58	37	37	
111	426	426	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	52	52	50	50	24	24	42	42	27	27	42	42	52	52	59	59	41	41	
112	397	397	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	31	31	30	30	48	48	20	20	35	35	26	26	42	42	60	60	75	75	30	30	
113	387	387	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	34	34	57	57	41	41	38	38	24	24	42	42	32	32	57	57	30	30	
114	414	414	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	52	52	52	52	32	32	31	31	20	20	45	45	54	54	49	49	36	36	
115	393	393	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	31	31	37	37	13	13	52	52	37	37	39	39	40	40	61	61	40	40	
116	418	418	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	54	54	40	40	26	26	45	45	26	26	36	36	52	52	46	46	42	42	
117	425	425	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	48	48	54	54	32	32	38	38	36	36	59	59	48	48	47	47	29	29	
118	336	336	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	24	24	41	41	23	23	26	26	24	24	37	37	48	48	53	53	20	20	
119	403	403	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	38	38	55	55	33	33	32	32	26	26	32	32	49	49	51	51	53	53	
120	400	400	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	52	52	50	50	36	36	55	55	36	36	24	24	58	58	36	36	21	21	
121	401	401	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	46	46	49	49	21	21	41	41	24	24	41	41	50	50	46	46	49	49	
122	394	394	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	18	18	39	39	49	49	28	28	41	41	27	27	47	47	46	46	61	61	38	38	
123	395	395	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	37	37	31	31	34	34	37	37	44	44	22	22	40	40	56	56	52	52	42	42	
124	396	396	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	23	23	47	47	31	31	47	47	26	26	47	47	39	39	60	60	43	43	
125	449	449	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	56	56	42	42	30	30	57	57	38	38	54	54	35	35	47	47	44	44	
126	404	404	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	46	46	55	55	28	28	45	45	23	23	37	37	62	62	48	48	33	33	
127	404	404	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	22	22	44	44	44	44	38	38	60	60	28	28	43	43	50	50	50	50	25	25	
128	421	421	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	48	48	46	46	30	30	38	38	40	40	44	44	47	47	58	58	34	34	
129	429	429	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	48	48	57	57	29	29	41	41	27	27	46	46	41	41	64	64	35	35	
130	378	378	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	38	38	44	44	28	28	52	52	29	29	23	23	38	38	48	48	44	44	
131	413	413	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	29	29	47	47	52	52	39	39	48	48	26	26	39	39	41	41	54	54	38	38	
132	360	360	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	37	37	37	37	28	28	25	25	34	34	30	30	44	44	61	61	30	30	
133	422	422	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	35	35	55	55	52	52	45	45	32	32	31	31	42	42	42	42	66	66	22	22	
134	414	414	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	50	50	43	43	32	32	44	44	26	26	46	46	39	39	59	59	32	32	
