t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
55	395	395	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	46	46	40	40	25	25	35	35	36	36	50	50	41	41	41	41	38	38	
56	418	418	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	33	33	35	35	33	33	41	41	39	39	48	48	46	46	52	52	37	37	
57	373	373	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	27	27	17	17	44	44	42	42	32	32	53	53	36	36	33	33	38	38	
58	393	393	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	66	66	45	45	32	32	16	16	41	41	31	31	41	41	46	46	38	38	37	37	
59	418	418	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	44	44	21	21	29	29	27	27	43	43	49	49	47	47	45	45	50	50	
60	433	433	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	33	33	35	35	38	38	35	35	47	47	59	59	46	46	42	42	47	47	
61	397	397	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	43	43	27	27	33	33	35	35	36	36	41	41	47	47	32	32	44	44	
62	412	412	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	45	45	30	30	34	34	43	43	18	18	46	46	39	39	40	40	46	46	
63	414	414	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	32	32	25	25	30	30	47	47	45	45	51	51	53	53	36	36	34	34	
64	409	409	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	26	26	26	26	20	20	46	46	37	37	46	46	54	54	61	61	44	44	
65	407	407	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	16	16	39	39	35	35	35	35	39	39	51	51	41	41	48	48	38	38	
66	410	410	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	26	26	29	29	31	31	54	54	27	27	56	56	40	40	46	46	38	38	
67	404	404	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	33	33	30	30	29	29	39	39	37	37	46	46	55	55	36	36	47	47	
