t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
608	813	535	 600	6	0.69	0.04	0.69	0.69	0.68	0.76	0.70	0.71	0.71	0.67	0.69	0.61	49	34	45	31	50	34	42	32	56	39	58	41	51	36	49	33	42	29	371	226	
609	801	685	 600	7	0.89	0.04	0.84	0.90	0.94	0.90	0.96	0.88	0.88	0.87	0.90	0.81	70	59	41	37	34	32	29	26	47	45	51	45	66	58	53	46	41	37	369	300	
610	737	494	 600	4	0.71	0.04	0.70	0.69	0.69	0.70	0.69	0.76	0.76	0.72	0.76	0.61	60	42	36	25	42	29	54	38	67	46	45	34	50	38	39	28	25	19	319	195	
611	806	692	 600	11	0.89	0.03	0.86	0.87	0.88	0.88	0.88	0.92	0.92	0.91	0.92	0.81	57	49	47	41	52	46	52	46	64	56	49	45	49	45	47	43	39	36	350	285	
612	838	550	 600	2	0.69	0.03	0.72	0.67	0.71	0.71	0.68	0.71	0.71	0.69	0.72	0.61	50	36	43	29	41	29	51	36	76	52	51	36	55	39	42	29	36	26	393	238	
613	764	539	 600	7	0.72	0.03	0.77	0.72	0.71	0.71	0.66	0.78	0.74	0.73	0.70	0.69	56	43	39	28	49	35	49	35	73	48	36	28	39	29	45	33	27	19	351	241	
614	806	691	 600	9	0.89	0.03	0.87	0.90	0.92	0.88	0.89	0.89	0.85	0.89	0.95	0.82	54	47	49	44	52	48	34	30	70	62	61	54	68	58	53	47	20	19	345	282	
615	798	530	 600	7	0.70	0.05	0.76	0.68	0.66	0.81	0.69	0.70	0.66	0.69	0.74	0.62	38	29	41	28	67	44	32	26	58	40	50	35	65	43	54	37	34	25	359	223	
616	825	680	 600	4	0.89	0.05	0.89	0.92	0.88	0.93	0.88	0.88	0.93	0.92	0.92	0.74	66	59	39	36	51	45	40	37	64	56	49	43	45	42	38	35	36	33	397	294	
617	835	548	 600	6	0.69	0.05	0.65	0.64	0.64	0.72	0.69	0.74	0.70	0.75	0.73	0.61	75	49	55	35	67	43	50	36	70	48	34	25	63	44	44	33	37	27	340	208	
618	774	669	 600	7	0.91	0.05	0.89	0.89	0.90	0.88	0.93	0.95	0.89	0.92	1.00	0.82	55	49	44	39	42	38	42	37	55	51	37	35	62	55	26	24	26	26	385	315	
619	828	549	 600	8	0.69	0.03	0.67	0.69	0.70	0.69	0.73	0.76	0.69	0.68	0.71	0.62	58	39	48	33	63	44	36	25	51	37	33	25	74	51	59	40	45	32	361	223	
620	814	680	 600	6	0.89	0.06	0.89	0.92	0.95	0.87	0.91	0.90	0.88	0.85	1.00	0.77	73	65	37	34	38	36	46	40	54	49	42	38	73	64	39	33	15	15	397	306	
621	811	538	 600	7	0.70	0.04	0.70	0.70	0.70	0.73	0.68	0.70	0.73	0.70	0.76	0.61	56	39	44	31	53	37	48	35	69	47	46	32	48	35	57	40	17	13	373	229	
622	799	662	 600	8	0.86	0.03	0.86	0.88	0.87	0.87	0.86	0.87	0.90	0.88	0.85	0.78	50	43	42	37	47	41	45	39	58	50	61	53	48	43	43	38	27	23	378	295	
623	805	531	 600	4	0.69	0.03	0.66	0.65	0.71	0.71	0.72	0.70	0.70	0.69	0.73	0.61	65	43	43	28	55	39	55	39	64	46	46	32	46	32	49	34	30	22	352	216	
624	848	727	 600	7	0.89	0.03	0.88	0.91	0.88	0.90	0.92	0.92	0.90	0.89	0.94	0.81	57	50	33	30	50	44	42	38	60	55	39	36	67	60	47	42	32	30	421	342	
625	838	548	 600	6	0.69	0.03	0.67	0.70	0.67	0.73	0.70	0.72	0.70	0.71	0.68	0.61	49	33	46	32	69	46	45	33	66	46	36	26	53	37	51	36	34	23	389	236	
626	763	645	 600	8	0.89	0.03	0.90	0.88	0.92	0.89	0.89	0.93	0.88	0.90	0.88	0.80	39	35	59	52	37	34	37	33	64	57	27	25	51	45	39	35	26	23	384	306	
627	801	528	 600	4	0.69	0.04	0.69	0.65	0.71	0.73	0.67	0.70	0.71	0.70	0.75	0.61	65	45	37	24	35	25	51	37	67	45	53	37	63	45	44	31	20	15	366	224	
628	825	670	 600	9	0.82	0.04	0.79	0.77	0.85	0.82	0.80	0.91	0.79	0.77	0.86	0.81	73	58	53	41	47	40	38	31	55	44	34	31	62	49	52	40	35	30	376	306	
629	860	565	 600	6	0.69	0.03	0.67	0.68	0.70	0.69	0.67	0.70	0.67	0.74	0.71	0.62	76	51	50	34	54	38	39	27	73	49	46	32	70	47	35	26	48	34	369	227	
630	798	608	 600	8	0.81	0.06	0.85	0.84	0.85	0.84	0.81	0.91	0.79	0.84	0.71	0.68	74	63	44	37	52	44	43	36	73	59	22	20	68	54	32	27	38	27	352	241	
631	784	518	 600	6	0.70	0.05	0.67	0.69	0.71	0.74	0.67	0.75	0.70	0.70	0.78	0.61	60	40	45	31	55	39	31	23	67	45	36	27	63	44	43	30	27	21	357	218	
632	843	723	 600	9	0.89	0.03	0.88	0.90	0.90	0.92	0.88	0.88	0.90	0.91	0.90	0.81	75	66	48	43	61	55	48	44	77	68	43	38	48	43	44	40	31	28	368	298	
633	758	500	 600	4	0.69	0.04	0.67	0.65	0.73	0.69	0.70	0.74	0.72	0.71	0.68	0.61	58	39	52	34	55	40	48	33	57	40	38	28	47	34	35	25	31	21	337	206	
634	827	695	 600	5	0.87	0.04	0.90	0.86	0.93	0.86	0.86	0.89	0.88	0.90	0.87	0.79	50	45	50	43	56	52	63	54	64	55	47	42	52	46	30	27	39	34	376	297	
635	810	529	 600	4	0.69	0.04	0.66	0.70	0.67	0.74	0.72	0.70	0.71	0.67	0.75	0.61	65	43	37	26	57	38	42	31	46	33	61	43	52	37	45	30	20	15	385	233	
636	852	686	 600	9	0.85	0.04	0.87	0.82	0.89	0.86	0.89	0.84	0.87	0.84	0.88	0.74	71	62	45	37	57	51	42	36	64	57	49	41	60	52	50	42	25	22	389	286	
637	910	592	 600	3	0.68	0.04	0.67	0.67	0.69	0.77	0.69	0.70	0.69	0.67	0.68	0.61	76	51	51	34	70	48	26	20	52	36	69	48	65	45	43	29	40	27	418	254	
638	794	516	 600	9	0.69	0.03	0.67	0.67	0.69	0.71	0.69	0.68	0.70	0.71	0.74	0.61	63	42	54	36	42	29	35	25	49	34	63	43	50	35	28	20	27	20	383	232	
639	807	691	 600	11	0.89	0.03	0.88	0.94	0.89	0.90	0.90	0.90	0.90	0.87	0.86	0.81	51	45	32	30	46	41	50	45	49	44	52	47	59	53	54	47	43	37	371	302	
640	803	531	 600	6	0.69	0.04	0.71	0.68	0.68	0.71	0.71	0.71	0.69	0.76	0.68	0.61	45	32	53	36	59	40	48	34	59	42	45	32	54	37	34	26	40	27	366	225	
641	830	679	 600	5	0.87	0.05	0.93	0.88	0.88	0.90	0.86	0.88	0.87	0.88	0.86	0.74	41	38	41	36	50	44	41	37	93	80	51	45	61	53	48	42	36	31	368	273	
642	866	565	 600	8	0.69	0.04	0.65	0.75	0.65	0.72	0.68	0.72	0.73	0.65	0.71	0.61	86	56	32	24	69	45	39	28	63	43	36	26	49	36	40	26	38	27	414	254	
643	789	521	 600	5	0.71	0.04	0.68	0.69	0.70	0.79	0.75	0.71	0.72	0.72	0.71	0.61	57	39	45	31	57	40	24	19	36	27	45	32	53	38	46	33	28	20	398	242	
644	815	659	 600	8	0.84	0.05	0.87	0.77	0.90	0.82	0.91	0.82	0.86	0.85	0.89	0.75	67	58	35	27	49	44	45	37	66	60	33	27	63	54	52	44	36	32	369	276	
645	854	564	 600	10	0.69	0.03	0.67	0.72	0.69	0.69	0.71	0.70	0.70	0.69	0.70	0.61	70	47	43	31	59	41	49	34	69	49	54	38	56	39	48	33	37	26	369	226	
646	812	607	 600	5	0.81	0.07	0.77	0.84	0.79	0.84	0.80	0.89	0.83	0.77	0.93	0.67	60	46	32	27	70	55	44	37	54	43	38	34	59	49	39	30	28	26	388	260	
647	822	540	 600	6	0.69	0.03	0.68	0.70	0.71	0.71	0.74	0.72	0.69	0.68	0.71	0.61	59	40	43	30	42	30	38	27	42	31	47	34	61	42	40	27	45	32	405	247	
648	829	673	 600	2	0.85	0.04	0.85	0.87	0.88	0.85	0.88	0.83	0.84	0.87	0.89	0.76	48	41	39	34	57	50	47	40	72	63	58	48	56	47	45	39	19	17	388	294	
649	755	503	 600	5	0.70	0.05	0.71	0.65	0.74	0.76	0.70	0.68	0.71	0.70	0.79	0.61	52	37	46	30	53	39	37	28	64	45	47	32	62	44	50	35	14	11	330	202	
650	759	657	 600	9	0.90	0.03	0.90	0.91	0.95	0.93	0.87	0.91	0.93	0.90	0.88	0.82	67	60	33	30	41	39	29	27	61	53	35	32	42	39	50	45	42	37	359	295	
651	844	552	 600	9	0.69	0.03	0.69	0.70	0.69	0.74	0.68	0.70	0.68	0.67	0.70	0.61	61	42	43	30	62	43	50	37	62	42	50	35	65	44	46	31	30	21	375	227	
652	837	621	 600	8	0.78	0.06	0.80	0.83	0.74	0.73	0.75	0.87	0.77	0.78	0.85	0.68	71	57	53	44	53	39	45	33	69	52	54	47	53	41	41	32	27	23	371	253	
653	757	506	 600	4	0.70	0.04	0.70	0.68	0.72	0.76	0.69	0.71	0.71	0.71	0.70	0.61	69	48	31	21	57	41	46	35	61	42	52	37	58	41	35	25	27	19	321	197	
654	814	702	 600	9	0.90	0.04	0.98	0.89	0.91	0.94	0.90	0.88	0.89	0.89	0.91	0.81	41	40	47	42	54	49	35	33	58	52	58	51	55	49	45	40	33	30	388	316	
655	789	521	 600	8	0.70	0.05	0.70	0.65	0.64	0.76	0.70	0.71	0.71	0.68	0.80	0.61	57	40	52	34	45	29	46	35	47	33	49	35	52	37	56	38	25	20	360	220	
656	808	695	 600	8	0.89	0.03	0.92	0.88	0.90	0.90	0.89	0.90	0.91	0.91	0.92	0.81	59	54	43	38	40	36	51	46	45	40	41	37	55	50	47	43	36	33	391	318	
657	848	558	 600	4	0.68	0.03	0.71	0.69	0.67	0.68	0.68	0.74	0.70	0.68	0.68	0.62	79	56	35	24	51	34	50	34	79	54	42	31	56	39	50	34	31	21	375	231	
658	813	568	 600	4	0.74	0.06	0.72	0.71	0.72	0.73	0.74	0.80	0.76	0.70	0.88	0.64	64	46	35	25	43	31	41	30	72	53	54	43	59	45	44	31	25	22	376	242	
659	818	544	 600	5	0.71	0.04	0.68	0.67	0.74	0.76	0.70	0.73	0.74	0.72	0.71	0.61	57	39	48	32	50	37	34	26	76	53	49	36	39	29	53	38	34	24	378	230	
660	811	661	 600	9	0.85	0.05	0.83	0.80	0.88	0.95	0.90	0.82	0.90	0.85	0.86	0.75	48	40	49	39	59	52	37	35	52	47	50	41	60	54	59	50	35	30	362	273	
661	796	519	 600	10	0.68	0.03	0.66	0.70	0.68	0.69	0.66	0.70	0.68	0.70	0.75	0.61	70	46	33	23	50	34	59	41	56	37	54	38	47	32	44	31	24	18	359	219	
662	790	680	 600	8	0.89	0.03	0.90	0.90	0.90	0.95	0.92	0.89	0.89	0.88	0.88	0.82	61	55	41	37	39	35	38	36	60	55	38	34	62	55	57	50	26	23	368	300	
663	800	524	 600	8	0.69	0.04	0.69	0.62	0.68	0.71	0.69	0.71	0.71	0.74	0.71	0.61	45	31	26	16	60	41	48	34	62	43	55	39	48	34	39	29	31	22	386	235	
664	796	687	 600	7	0.89	0.04	0.87	0.92	0.93	0.94	0.89	0.92	0.88	0.88	0.89	0.81	70	61	48	44	46	43	49	46	57	51	50	46	49	43	51	45	28	25	348	283	
665	830	553	 600	6	0.71	0.05	0.68	0.65	0.73	0.80	0.77	0.70	0.75	0.72	0.67	0.61	71	48	49	32	56	41	35	28	30	23	54	38	56	42	53	38	49	33	377	230	
666	835	678	 600	7	0.85	0.05	0.82	0.85	0.82	0.84	0.89	0.92	0.82	0.87	0.91	0.76	60	49	62	53	56	46	31	26	57	51	39	36	61	50	54	47	35	32	380	288	
667	834	552	 600	6	0.70	0.04	0.65	0.71	0.69	0.71	0.70	0.70	0.71	0.70	0.78	0.61	75	49	45	32	58	40	34	24	61	43	56	39	65	46	54	38	23	18	363	223	
668	845	682	 600	10	0.87	0.06	0.87	0.86	0.88	0.86	0.91	0.86	0.89	0.94	0.94	0.73	70	61	43	37	58	51	49	42	47	43	42	36	55	49	32	30	32	30	417	303	
669	794	521	 600	4	0.69	0.04	0.66	0.63	0.71	0.74	0.70	0.74	0.67	0.70	0.74	0.61	67	44	46	29	58	41	46	34	60	42	31	23	61	41	37	26	27	20	361	221	
670	775	659	 600	6	0.88	0.04	0.89	0.90	0.89	0.83	0.93	0.93	0.91	0.90	0.85	0.80	56	50	50	45	63	56	54	45	54	50	29	27	45	41	40	36	41	35	343	274	
671	820	543	 600	1	0.70	0.04	0.71	0.67	0.70	0.74	0.69	0.72	0.71	0.74	0.71	0.61	49	35	48	32	63	44	31	23	58	40	39	28	63	45	43	32	34	24	392	240	
672	794	625	 600	7	0.82	0.04	0.87	0.85	0.86	0.81	0.83	0.84	0.82	0.84	0.79	0.73	52	45	41	35	44	38	57	46	65	54	50	42	71	58	43	36	29	23	342	248	
673	798	519	 600	4	0.69	0.03	0.68	0.72	0.69	0.69	0.69	0.68	0.70	0.71	0.72	0.60	60	41	32	23	36	25	52	36	52	36	44	30	50	35	41	29	32	23	399	241	
674	832	651	 600	7	0.84	0.07	0.84	0.89	0.89	0.94	0.90	0.82	0.85	0.88	0.75	0.70	85	71	37	33	61	54	31	29	39	35	49	40	66	56	33	29	48	36	383	268	
675	834	544	 600	7	0.69	0.03	0.68	0.66	0.67	0.69	0.69	0.73	0.70	0.71	0.73	0.61	56	38	38	25	51	34	48	33	64	44	48	35	46	32	42	30	33	24	408	249	
676	848	665	 600	7	0.82	0.05	0.83	0.77	0.88	0.88	0.89	0.80	0.85	0.80	0.79	0.72	63	52	47	36	56	49	40	35	64	57	51	41	60	51	66	53	29	23	372	268	
677	802	532	 600	5	0.71	0.04	0.70	0.71	0.71	0.74	0.70	0.73	0.71	0.76	0.68	0.61	60	42	38	27	48	34	43	32	64	45	33	24	59	42	34	26	44	30	379	230	
678	780	656	 600	4	0.89	0.04	0.93	0.91	0.89	0.91	0.89	0.90	0.91	0.91	0.87	0.78	58	54	34	31	47	42	43	39	61	54	30	27	43	39	43	39	38	33	383	298	
679	847	559	 600	5	0.70	0.05	0.67	0.74	0.72	0.69	0.77	0.69	0.70	0.67	0.76	0.61	75	50	31	23	53	38	59	41	48	37	52	36	67	47	42	28	29	22	391	237	
680	797	565	 600	4	0.77	0.06	0.77	0.73	0.88	0.77	0.82	0.79	0.82	0.76	0.71	0.63	66	51	37	27	32	28	47	36	49	40	43	34	45	37	42	32	42	30	394	250	
681	788	587	 600	6	0.80	0.08	0.84	0.71	0.82	0.89	0.87	0.81	0.88	0.79	0.69	0.67	61	51	41	29	51	42	37	33	52	45	43	35	50	44	38	30	48	33	367	245	
682	806	531	 600	5	0.69	0.03	0.70	0.70	0.70	0.71	0.68	0.73	0.73	0.70	0.69	0.61	46	32	46	32	63	44	41	29	68	46	30	22	56	41	46	32	36	25	374	228	
683	770	654	 600	7	0.90	0.04	0.88	0.93	0.89	0.94	0.94	0.88	0.89	0.90	0.93	0.79	48	42	40	37	45	40	34	32	64	60	49	43	53	47	42	38	28	26	367	289	
684	765	505	 600	2	0.69	0.03	0.70	0.66	0.69	0.69	0.71	0.69	0.75	0.67	0.70	0.62	57	40	47	31	48	33	36	25	42	30	52	36	48	36	46	31	40	28	349	215	
685	816	695	 600	5	0.89	0.04	0.90	0.85	0.92	0.89	0.88	0.96	0.89	0.87	0.91	0.81	51	46	47	40	39	36	38	34	66	58	23	22	45	40	54	47	35	32	418	340	
686	827	549	 600	12	0.70	0.04	0.75	0.71	0.68	0.75	0.69	0.76	0.68	0.67	0.69	0.61	48	36	55	39	44	30	53	40	65	45	34	26	59	40	51	34	36	25	382	234	
687	789	680	 600	11	0.90	0.05	0.89	0.86	1.00	0.89	0.89	0.93	0.90	0.88	0.89	0.81	63	56	51	44	34	34	44	39	66	59	43	40	61	55	52	46	27	24	348	283	
688	801	526	 600	0	0.70	0.04	0.71	0.73	0.66	0.69	0.67	0.70	0.70	0.70	0.77	0.61	55	39	37	27	50	33	52	36	55	37	37	26	60	42	37	26	22	17	396	243	
689	864	660	 600	6	0.75	0.04	0.72	0.68	0.79	0.75	0.75	0.80	0.73	0.74	0.73	0.79	71	51	50	34	57	45	52	39	64	48	46	37	60	44	42	31	44	32	378	299	
690	774	508	 600	4	0.68	0.03	0.68	0.70	0.70	0.70	0.68	0.71	0.66	0.70	0.70	0.62	56	38	37	26	44	31	50	35	59	40	41	29	59	39	40	28	33	23	355	219	
691	804	687	 600	9	0.89	0.04	0.90	0.89	0.88	0.90	0.90	0.96	0.89	0.86	0.90	0.81	70	63	36	32	50	44	50	45	49	44	26	25	45	40	58	50	41	37	379	307	
692	832	547	 600	7	0.69	0.04	0.68	0.66	0.67	0.73	0.69	0.74	0.71	0.68	0.68	0.61	57	39	41	27	58	39	44	32	80	55	47	35	49	35	57	39	37	25	362	221	
693	860	713	 600	4	0.90	0.05	0.90	0.92	0.92	0.89	0.95	0.94	0.90	0.90	0.89	0.75	70	63	48	44	50	46	45	40	43	41	32	30	63	57	30	27	38	34	441	331	
694	802	524	 600	4	0.68	0.04	0.67	0.70	0.68	0.76	0.67	0.69	0.69	0.71	0.65	0.61	58	39	44	31	60	41	45	34	55	37	39	27	49	34	56	40	23	15	373	226	
